(0,0,0,146.9828,146.983,146.983,0,0,0,T)
(0,3,0,1,1,1,50,330,0,T)
(0,0,0,1,1,1,0,0,0,T)
(0,0,0,1,1,1,0,0,0,T)
(0,0,0,1,1,1,0,0,0,T)
(0,0,0,1,1,1,0,0,0,T)
(0,0,0,1,1,1,0,0,0,T)
(0,0,0,1,1,1,0,0,0,T)
(0,0,0,1,1,1,0,0,0,T)
(0,0,0,1,1,1,0,0,0,T)
(-1.471,1.657,0.962,0.001246612,0.00193062,1,0,0,0,T)
(-1.471,1.657,0.962,1,1,1,0,0,0,T)
(-1.267802,1.187859,0.962,1.598017,1.560556,1,0,0,0,T)
(-1.267802,1.187859,0.962,1,1,1,0,0,0,T)
(-1.684171,1.187859,0.962,1.602664,1.561618,1,0,0,0,T)
(-1.684171,1.187859,0.962,1,1,1,0,0,0,T)
(-1.17306,1.973622,0.962,0.497348,2.367115,1,0,0,0,T)
(-1.17306,1.973622,0.962,4.087605,1,1,0,0,0,T)
(-1.355065,1.973622,0.962,0.497348,2.367115,1,0,0,0,T)
(-1.355065,1.973622,0.962,3.878053,1,1,0,0,0,T)
(-1.563249,1.973622,0.962,0.497348,2.367115,1,0,0,0,T)
(-1.563249,1.973622,0.962,3.020164,1,1,0,0,0,T)
(-1.775173,1.973622,0.962,0.497348,2.367115,1,0,0,0,T)
(-1.775173,1.973622,0.962,3.302768,1,1,0,0,0,T)
(-1.17306,2.147377,0.962,0.4988814,2.368924,1,0,0,0,T)
(-1.17306,2.147377,0.962,3.706084,1,1,0,0,0,T)
(-1.351325,2.147377,0.962,0.5011756,2.366524,1,0,0,0,T)
(-1.351325,2.147377,0.962,2.66208,1,1,0,0,0,T)
(-1.565742,2.147377,0.962,0.5011756,2.366524,1,0,0,0,T)
(-1.565742,2.147377,0.962,4.620771,1,1,0,0,0,T)
(-1.771555,2.147377,0.962,0.5011756,2.366524,1,0,0,0,T)
(-1.771555,2.147377,0.962,5.831408,1,1,0,0,0,T)
(-1.448561,1.044993,0.962,1.598017,1.560556,1,0,0,0,T)
(-1.448561,1.044993,0.962,1,1,1,0,0,0,T)
(-1.479726,2.272868,0.962,3.488436,2.175467,1,0,0,0,T)
(-1.471,1.843644,0.962,4.390313,2.999883,1,0,0,0,T)
(-1.471,1.843644,0.962,1,1,1,0,0,0,T)
(-1.498365,1.843644,0.962,1,1,1,0,0,0,T)
(-1.881476,1.814686,0.962,1,1,1,0,0,0,T)
(-1.471,1.843644,0.962,1,1,1,0,0,0,T)
(-1.854111,1.785728,0.962,1,1,1,0,0,0,T)
(-1.471,1.685959,0.962,4.394548,2.999735,1,0,0,0,T)
(-1.471,1.685959,0.962,1,1,1,0,0,0,T)
(-1.498391,1.685959,0.962,1,1,1,0,0,0,T)
(-1.881872,1.657003,0.962,1,1,1,0,0,0,T)
(-1.471,1.685959,0.962,1,1,1,0,0,0,T)
(-1.85448,1.628046,0.962,1,1,1,0,0,0,T)
(-1.471,1.380921,0.962,4.394548,2.999735,1,0,0,0,T)
(-1.471,1.380921,0.962,1,1,1,0,0,0,T)
(-1.498391,1.380921,0.962,1,1,1,0,0,0,T)
(-1.881872,1.351965,0.962,1,1,1,0,0,0,T)
(-1.471,1.380921,0.962,1,1,1,0,0,0,T)
(-1.85448,1.323008,0.962,1,1,1,0,0,0,T)
(-1.471,1.539232,0.962,4.394548,2.999735,1,0,0,0,T)
(-1.471,1.539232,0.962,1,1,1,0,0,0,T)
(-1.498391,1.539232,0.962,1,1,1,0,0,0,T)
(-1.881872,1.510275,0.962,1,1,1,0,0,0,T)
(-1.471,1.539232,0.962,1,1,1,0,0,0,T)
(-1.85448,1.481319,0.962,1,1,1,0,0,0,T)
(-1.471,1.657,0.962,1,1,1,0,0,0,T)
(0,0,0,1,1,1,0,0,0,T)
